ENSMUSG00000000001	1088
ENSMUSG00000000003	0
ENSMUSG00000000028	116
ENSMUSG00000000031	657
ENSMUSG00000000037	19
ENSMUSG00000000049	0
ENSMUSG00000000056	337
ENSMUSG00000000058	822
ENSMUSG00000000078	1366
ENSMUSG00000000085	368
ENSMUSG00000000088	324
ENSMUSG00000000093	677
ENSMUSG00000000094	238
ENSMUSG00000000103	0
ENSMUSG00000000120	15
ENSMUSG00000000125	0
ENSMUSG00000000126	50
ENSMUSG00000000127	142
ENSMUSG00000000131	814
ENSMUSG00000000134	386
ENSMUSG00000000142	394
ENSMUSG00000000148	211
ENSMUSG00000000149	838
ENSMUSG00000000154	56
ENSMUSG00000000157	22
ENSMUSG00000000159	141
ENSMUSG00000000167	56
ENSMUSG00000000168	457
ENSMUSG00000000171	856
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	1480
ENSMUSG00000000194	574
ENSMUSG00000000197	0
ENSMUSG00000000202	4
ENSMUSG00000000204	47
ENSMUSG00000000214	2
ENSMUSG00000000215	0
ENSMUSG00000000216	658
ENSMUSG00000000223	4
ENSMUSG00000000244	56
ENSMUSG00000000247	0
ENSMUSG00000000248	0
ENSMUSG00000000253	213
ENSMUSG00000000263	0
ENSMUSG00000000266	343
ENSMUSG00000000275	1058
ENSMUSG00000000276	154
ENSMUSG00000000278	875
ENSMUSG00000000282	467
ENSMUSG00000000290	1435
ENSMUSG00000000295	94
ENSMUSG00000000296	31
ENSMUSG00000000301	10
ENSMUSG00000000303	7295
ENSMUSG00000000305	66
ENSMUSG00000000308	150
ENSMUSG00000000317	147
ENSMUSG00000000318	20
ENSMUSG00000000320	109
ENSMUSG00000000326	696
ENSMUSG00000000339	189
ENSMUSG00000000340	289
ENSMUSG00000000346	1755
ENSMUSG00000000355	149
ENSMUSG00000000359	27
ENSMUSG00000000365	2
ENSMUSG00000000374	655
ENSMUSG00000000378	280
ENSMUSG00000000381	0
ENSMUSG00000000384	215
ENSMUSG00000000385	922
ENSMUSG00000000386	17
ENSMUSG00000000392	7
ENSMUSG00000000394	0
ENSMUSG00000000399	544
ENSMUSG00000000402	5738
ENSMUSG00000000409	58
ENSMUSG00000000411	1
ENSMUSG00000000416	102
ENSMUSG00000000420	720
ENSMUSG00000000435	0
ENSMUSG00000000439	785
ENSMUSG00000000440	118
ENSMUSG00000000441	1174
ENSMUSG00000000486	108
ENSMUSG00000000489	693
ENSMUSG00000000530	899
ENSMUSG00000000531	305
ENSMUSG00000000532	830
ENSMUSG00000000538	573
ENSMUSG00000000544	3
ENSMUSG00000000552	223
ENSMUSG00000000555	410
ENSMUSG00000000560	0
ENSMUSG00000000561	192
ENSMUSG00000000562	12
ENSMUSG00000000563	1272
ENSMUSG00000000567	467
ENSMUSG00000000568	1543
ENSMUSG00000000579	7
ENSMUSG00000000581	198
ENSMUSG00000000594	855
ENSMUSG00000000600	253
ENSMUSG00000000605	772
ENSMUSG00000000606	0
ENSMUSG00000000617	7
ENSMUSG00000000627	896
ENSMUSG00000000628	274
ENSMUSG00000000631	2582
ENSMUSG00000000632	1
ENSMUSG00000000673	21
ENSMUSG00000000682	222
ENSMUSG00000000686	34
ENSMUSG00000000690	20
ENSMUSG00000000693	145
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	469
ENSMUSG00000000711	606
ENSMUSG00000000724	0
ENSMUSG00000000730	0
ENSMUSG00000000731	0
ENSMUSG00000000732	97
ENSMUSG00000000738	361
ENSMUSG00000000739	7
ENSMUSG00000000740	3138
ENSMUSG00000000743	701
ENSMUSG00000000751	660
ENSMUSG00000000753	402
ENSMUSG00000000759	579
ENSMUSG00000000766	0
ENSMUSG00000000776	127
ENSMUSG00000000782	284
ENSMUSG00000000787	3633
ENSMUSG00000000791	11
ENSMUSG00000000792	5
ENSMUSG00000000794	150
ENSMUSG00000000804	480
ENSMUSG00000000805	563
ENSMUSG00000000811	413
ENSMUSG00000000817	3
ENSMUSG00000000823	824
ENSMUSG00000000826	1260
ENSMUSG00000000827	587
ENSMUSG00000000838	477
ENSMUSG00000000861	29
ENSMUSG00000000869	2
ENSMUSG00000000876	390
ENSMUSG00000000881	501
ENSMUSG00000000884	45
ENSMUSG00000000889	0
ENSMUSG00000000901	616
ENSMUSG00000000902	777
ENSMUSG00000000903	31
ENSMUSG00000000915	1834
ENSMUSG00000000916	181
ENSMUSG00000000934	46
ENSMUSG00000000938	0
ENSMUSG00000000942	16
ENSMUSG00000000948	8
ENSMUSG00000000957	1391
ENSMUSG00000000958	206
ENSMUSG00000000959	539
ENSMUSG00000000976	233
ENSMUSG00000000982	14
ENSMUSG00000000983	0
ENSMUSG00000001014	10
ENSMUSG00000001016	638
ENSMUSG00000001017	978
ENSMUSG00000001018	504
ENSMUSG00000001020	24
ENSMUSG00000001021	1
ENSMUSG00000001023	0
ENSMUSG00000001025	620
ENSMUSG00000001027	3
ENSMUSG00000001029	166
ENSMUSG00000001034	333
ENSMUSG00000001036	511
ENSMUSG00000001039	160
ENSMUSG00000001052	715
ENSMUSG00000001053	219
ENSMUSG00000001054	244
ENSMUSG00000001056	258
ENSMUSG00000001062	283
ENSMUSG00000001065	247
ENSMUSG00000001076	2
ENSMUSG00000001082	326
ENSMUSG00000001089	532
ENSMUSG00000001095	20
ENSMUSG00000001098	1990
ENSMUSG00000001100	761
ENSMUSG00000001103	2
ENSMUSG00000001105	590
ENSMUSG00000001119	4904
ENSMUSG00000001120	73
ENSMUSG00000001123	338
ENSMUSG00000001127	672
ENSMUSG00000001128	233
ENSMUSG00000001131	13
